Registration_no,Name,Room_type,City,Country,Rating,Price_in_usd
3834,Airelles Saint-Tropez,Luxury suite,Paris,France,9,1500
4582,Four Seasons Hotel ,Villa,Barcelona,Spain,8,3000
3486,JW Marriott,Villa,Bunol,Spain,7,2200
1693,JW Marriott,Luxury suite,Edinburgh,Scotland,6,1300
4328,Suiran Hotel,Cabana,Tokyo,Japan,7,700
7856,Raddison Blu,Luxury suite,Chennai,India,6,1250
2523,JW Marriott,Penthouse,Mexico City,Mexico,7,750
5496,Shangri-La,Penthouse,Dublin,Ireland,8,1075
7345,Six Senses Kocatas Mansions,Luxury suite,Mugla,Turkey,8,1100
4554,The Taj Mahal Palace,Cabana,Mumbai,India,6,650
3654,Four Seasons Hotel ,Penthouse,Sydney,Australia,8,900
6786,Four Seasons Hotel ,Villa,Munich,Germany,4,4500
3454,JW Marriott,Luxury suite,Chiang Mai,Thailand,7,1350
7697,Hotel Granduca,Villa,Rio de Janeiro,Brazil,6,3500
2585,Raddison Blu,Villa,Kolkata,India,6,2850
5749,The Westbury ,Villa,New York City,USA,9,3500
4598,Six Senses Kocata? Mansions,Cabana,Antalya,Turkey,7,800
6562,Six Senses Kocata Mansions,Penthouse,Istanbul,Turkey,9,1200
3759,JW Marriott,Penthouse,Rome,Italy,8,950
3856,Marsa Malaz Kempinski The Pearl Doha,Luxury suite,Dubai,UAE,7,1050
3490,Shangri-La,Villa,Guangzhou,China,10,5000
6802,JW Marriott,Penthouse,Phuket,Thailand,7,975
4698,Marsa Malaz Kempinski The Pearl Doha,Cabana,Mecca,Saudi Arabia,7,800
8046,Hotel Granduca,Villa,Pattaya,Thailand,7,3750
3057,Hotel Granduca,Luxury suite,Taipei City,Taiwan,8,1375
6023,Shangri-La,Villa,Prague,Czech Republic,6,3200
9046,JW Marriott,Cabana,Shanghai,China,5,550
9463,Shangri-La,Luxury suite,Las Vegas,USA,9,1200
9563,The Drake Oak Brook,Villa,Miami,USA,8,2800
9366,JW Marriott,Cabana,Milan,Italy,6,680
